aalug-alog	shaky, rickety
tiisin	to endure something (free alt/dialectical of pagtiisan)
tikbalang	mythical demon horse
tikim	to taste, to try
tiklô	caught; arrested by the police (syn. huli)
tikmâ	agreement, pact, deal, accord
tikmán	to taste something (tikim)
tiktík	spy, detective
tíla	apparently, seemingly, "it seems", "strong possibility of being a factual statement"
tilapon	toss randomly (possibly related to 'tapon')
tilî	shriek, screech
timbóg	caught, arrested
tímbre	a stamp/seal; a button like a doorbell; a musical tone
timog	south
timplada	mixture, compound
timtím	the ability to endure hardship and to restrain the outburst of emotions; restraint; self-control; endurance; forbearance; patience
timyás	genuineness or purity of love, loyalty, etc.
tínaw	paglalagay ng tubâ sa mga tapayan
tináw	luminaw ang likido pagbabâ ng mga latak o dumi; hinugasan nang maraming ulit ang isang bagay; nakaupô sa sahig, damo, at katulad
tinda	selling, merchandise
tindahan	a store
tindero	a male seller
tindi	intensity, severity
tindíg	posture, bearing
tinggâ	lead (uri ng metal)
tingín	look, view, sight (lit and fig); opinion, estimate (palagay)
tingkád	brightness (of color)
tingnán	look at, check (tingín)
tinidor	fork
tinig	voice
tinik	fishbone, thorn
tinutúkoy	talking about X
tipak	chip, piece; block, chunk, lump, nugget
tipo	type
tipon	a collection; saving of money; savings; gathering; collected; gathered together
tipunin	to collect, to gather together, to store away.
tira	residence; enduring; left-over, residue
tira-tira	leftovers
tirhan	to spare, set aside for someone
tisay	fair skinned, mixed-race (from mestiso. mestisa/tisay?)
titik	(n) text, writing; lyric; letter (of alphabet)
titik-hilig	italics
tiwala	trust, faith
tiwala sa sarili	self-confidence
tiwalag	dismissed from work; separated
tiwalî	incorrect; inverted; absurd
tiwasáy	tranquil, peaceful, secure
tiya	aunt
tiyagâ	diligence, perseverance
tiyahin	alternative to tiya
tiyák	given/specific/definite/certain (also "certain" as in "particular", 'tiyák na paraán': a particular way)
tiyán	stomach
tiyempuhán	to do at the opportune time
tiyuhin	uncle, stepfather
todas	killed (slang)
todo	all, all of, the whole of
tokwa	tofu
tol	colloquial/informal term for one's brother or sister; buddy. (also utol)
tong	contribution of money
tono	tone (as in tone of voice)
torótot	party horn, toy trumpet
tostado	mainit, sunog, toasted
totoó	true, real, genuine
traidór	traitor
traidurín	to betray someone
trapál	tarp, tarpaulin
trigo	wheat
tripulante	a crew (as in a ship, etc.)
troso	log
tsaka	(atsaka) slangy way of saying “and” or “as well as” (at + saka)
tsansa	chance
tsekwa	derogatory term for chinese
tsikitíng	little, small, tiny, small kids (from spanish "chiquitin")
tsugi	slang word from "tsug!" (stabbing sound) in comics meaning "dead" or referring to some unpleasant happening
tsupér	chauffeur, driver
tubo	growing; tube, pipe; gain, profit
tubò	native
tudyó	tukso, biro, siste, kantiyaw; tuya
tugis	pursuit, chase; investigate
tugtog	playing of a musical instrument
tuhod	knee
tuhog	strings of beads, jewels, etc.; stringing things together
tuhog	strung together (beads, etc.), pierced together with a skewer
tuhurin	to kick in the knee
tuklás	discovery; discovered, found
tuklasín	to discover or detect something
tuklaw	snakebite; kagat ng ahas, sagpang; tuka
tukmól	turtledove; an ugly or stupid person (slang) 
tukô	gecko
túkod	support, prop
tukoy	experienced; accurate in shooting (marksmanship)
tukoy	mention, reference, specification
tukso	teasing, joking
tuksó	temptation, seduction
tuktók	top, peak, summit; crown of the head; knocking sound
tukuran	to prop up
tukuyin	cite, mention, refer to, drive at
tula	poem
tulad	imitation, like, similar to, followed by ng phrase
tulad ng	such as, like 
tulak	push, shove; drug pusher (also tulak-droga)
tulakin	to push/shove something
tularan	imitate
tulay	bridge
tuligsa	invective, public attack in words
tulis	a sharp end, point
tulisan	highwayman, brigand, bandit; to sharpen
túlog	sleep
tulóg	asleep
túlong	help, aid, support
tulóy	proceeding, entering, continuing, progressing
tulóy	to enter, stay somewhere; as a result of (cause/effect)
tuloy-tuloy	continual/continuous, straight and unchanging
tumabo	to scoop water with a shell, can, etc.
tumadyak	to kick backwards, to kick violently
tumakíp	to cover; to block (takíp)
tumal	slowness (business) "ang tumal ng benta."
tumalon	to jump
tumanda	to age, grow old
tumanggí	to refuse, deny
tumaob	overturned
tumapat	to stand in front of
tumapos	to finish
tumataas	mounting; increasing
tumatagal	time passed by
tumastás	to disassemble, to dismantle, to unstitch
tumawíd	to cross
tumayo	to stand up
tumbás	equal, enough, sufficient; [math] equals
tumbóng	anus, rectum
tumestigo	testify
tumigil	to stop
tumilà	to cease (usually referring to rain)
tumilî	shrieked, screeched
tumínag	to budge
tumingkad	to become brighter/clearer (as colors)
tumitingin-tingin	browsing
tumok	kakitkitan; kalaguan ng mga damong tumutubo
tumpák	Exactly!; proper, accurate, correct (tama?)
tumuklás	to discover; to detect
tumungo	to go to
tumungó	to bow one’s head in submissiveness
tumungo ka	bow your head
tumupád	to peform, accomplish
tumutol	objected
tumuwáng	to help carry a load
tunaw	melt, dissolve
túnay	true, correct, pure, real, genuine, legit
tungkól	concerning, about (followed by 'sa' phrase)
tungkulin	(noun) duty, responsibility, concern, mission, function, role
tungo	goal, purpose, direction; to deal with
tungó	bowing of the head
tungtóng	to step on; pot cover (also 'tuntóng')
tunóg	sound, audio; ring; strike; quality of sound; popularity
tuntón	tracing the path, source, origin; giving guidance at the start
tuntóng	stepping on; getting in to (also 'tungtóng')
tuntunan	basis, rule, principle
tuntungan	to step, set the foot down
tuntunin	rules, regulations, laws (also "alituntunin")
tupád	fulfilment, implementation of a duty, promise; compliance, observance
tupada	picnic; illegal cockfighting
tupók	burnt to ashes; nasunog at naging abó; sunóg na sunóg
túpok	(n) burning to ashes; pugnáw (pagsirà hanggang mawala o maglaho ang isang bagay, karaniwang sa pamamagitan ng apoy)
turing	remark, name, mention; answer to a riddle; modifier (in grammar); price offered (from seller or buyer)
turò	point (as with your finger)
turò	teach
turò-turò	a restaraunt where you point to what you want
túrok	multiple defs. most common meaning is in reference to being injected by a needle
turón	sweet, crispy banana rolls, made with a banana fried in an eggroll-style wrapper
tusak	nagkakatusak; masagana, marami, labis na pagkakaroon
tuso	subtle; sly, tricky, wily; astute; shrewd; calculating
tusok	piercing, perforation
tustos	allowance; stock, store, supply (e.g. of raw materials)
tustusan	support financially; extend, prolong
tuta	puppy; slavish follower [coll.]
tutál	anyway
túto	learning, gaining knowledge or skill (mostly used as root, eg matúto)
tutok	point (a gun at), aim, focus attention on
tutol	objection, disapproval, opposition, protest
tutóp	covering (e.g., one's mouth); being caught in the act; act red handed
tutubí	dragonfly
tuwâ	joy, happiness, fun
tuwalyá	towel
tuwáng	coordinate (grammar)
tuwáng	supported on both sides
tuwáng-tuwáng	in pairs
tuwi	every, each time, always conj. whenever tuwi conj. (+ ng) whenever, everytime.
tuwíd	straight, erect, direct
tuwina	always, all the time
tuwing	every time, every now and then
ubad	dowry (given by father to daughter as wedding gift)
ubó	cough
ubod	core; very (with 'ng': 'ubod ng bait siya' - 'he is very kind')
ubrá	possible, maybe; maaarì
udyok	urge, incite, entice
udyukan	to prod, urge, entice someone
ugâ	wobbly, loose
ugalì	attitude, behavior, disposition, nature, character, manners, mannerism, habit
ugnay	connection, relation, relevance
ugnayan	connection, links, interdependence
ugnayin	to connect
ugód	decrepitude, decrepit, stooped
ugong	roaring, resonance, howling of wind, noise like thunder
uha	cry of a newborn baby
uhaw	thirst, thirsty
uhod	maggot, caterpillar (also uod)
uka	dent, hollowed out
uka-uka	full of holes
ulap	clouds, fog
ulat	report, account, statement
uli	again (use muli at beginning of sentence)
ulí-ulí	"next time"
ulila	orphan
uling	charcoal
ulirat	consciousness, sense
ulit	repetition
ulit-ulit	again and again, repeatedly (also paulit-ulit)
ulít-ulitin	to keep repeating, to reiterate
ulitin	to do again, repeat
úlo	head
ulól	rabid, crazy
ulupong	zoo; species of cobra; viper; treacherous person
umaambag	is contributing
umaapaw	overflowing
umaapoy	blazing, is ablaze
umabót	to reach for, to reach out to someone
umakò	to take on; to take on the responsibility of (akuin)
umakò	to take on; to take on the responsibility of (akuin)
umakto	to act, perform as in a play, behave
umakyat	to climb
umalis	to leave, depart
umalma	have a tantrum or a fit, rise on one’s hind legs (like a bucking horse)
umamin	admitted/confessed (amin)
umaming	abbrev of "umamin na" admitted/confessed already
umanó	alleged(ly), supposed(ly), purported(ly), "it is said" (di-umanó)
umapaw	to overflow
umawit	to sing
umayos	to behave
umbág	punch, hit
umbágin	punch, hit someone
umbók	a bulge, hump, lump
umento	an increase in salary (dagdag na sahod)
umiinom	drinking
umiiral	is existing
umimík	to talk, speak
umíral	existed
umiskór	to score
umiyák	to cry/cried
umpisá	beginning, start
umugà	to be loose; to sway back forth
umugod-ugód	hobble, walk awkwardly
umunawá	to understand, to grasp mentally
umurong	to retreat, withdraw, retract
umusad	to move forward
umuwi	to go home
una	primary, first, chief
unahan	the front, first part, the first
unahin	to do <ang> first
únan	pillow
unang-una	firstly, first of all
unano	dwarf, pigmy, midget
unawa	to understand, comprehend (like intindi)
unawain	to understand, to grasp mentally
ungkát	mentioning or bringing up something that happened
ungkatin	to bring up again
unós	tempest, storm
untî	bit, small amount
untî-untî	gradually
untól	temporary stop, pause, halt
uod	maggot, caterpillar (also uhod)
upa	rent (a house); rent money
upang	so that, for, in order to (formal. "para" is used in informal conversation.)
upós	cigarette stub or butt; consumed, down to the butt (as candles, cigarettes, cigars); submerged
urì	kind, class, sort, species, type (or *example* thereof!, eg "ang parrot ay isang uri ng ibon")
uri-uri	of all kinds
urong	retreat, backward movement
urong-sulong	“going backward, going forward” = indecisive, hesitation
usá	a deer
úsad	forward movement, progress forward; mabagal na pagsulong
úsap	talking to each other
usap-usapan	what people are talking about = rumors, gossip
usápan	conversation
usapín	a topic of conversation/discussion/contention, etc.
usbóng	sprout, bud, growth of plants; offspring [fig.]
úsig	prosecute, persecute, investigation (also tugis)
usigin	to condemn
uso	stylish, in vogue, in fashion; style, trend, fashion
usok	smoke (n)
utak	brain
utang	debt
utas	completely finished, dead; completely obsessed with
utáy-utáy	little by little, gradually
utáyin	to do little by little
utol	colloquial/informal term for one's brother or sister; buddy. (also tol)
utong	nipple
utô-utô	idiotic, foolish, easily fooled, gullible; cheating
utô	simpleton, fool
utuín	to make a fool of someone, to deceive or trick someone
útos	command, order
uwak	crow, raven
úwang	void, nothingness, void (kawalán)
uwáng	beetle (bug)
uwî	return home; something brought home
uwian	usual time to go home, dismissal time
uyam	mocking; jeering; sarcasm
waág	open, wide and clear (referring to a place) cleared of obstructions that hinder clear viewing
wagás	pure, perfect
wais	wise, cunning
wakwák	ripped, ripped open (also gahák)
walâ	none, not there, absent, contrary to.. (slang: waley, nawaley)
wala sa kanyang sarili	absent-minded, not being oneself
walang-antala	without delay
walang anu-ano	unexpectedly
walang-diwa	senseless
walang-galang	without respect
walang-gawa	“nothing doing” = unemployed, idle
walang-hanggan	infinite, boundless, eternal
waláng-habas	recklessly, non-stop, never-ending
walang-ingat	careless (pabayâ)
waláng kamálay-malay	unsuspecting
walang-kulang	lacking nothing / complete
walang-kusa	no initiative
walang-kuwenta	worthless
walang-lubáy	persistent
walang-malay-tao	unconscious
walang-puso	heartless
walang-sira	flawless
walang-takda	limitless, absolute, indefinite
walang-wala	absolutely none
walay	separating, weaning away from
warì	assumption, opinion, estimation; seemingly, looks like, as, as if, apparently
wasak	ruin, destroy
wastô	proper, correct, in order
watáwat	flag, ensign, banner
welga	a workers' strike (sp. "huelga")
wéteng	sa madyong (mahjong), naghihintay ng pitsang ipapanalo
windang	torn apart; torn into tatters
wisyo	huwisyo
yabág	the sound of footsteps
yabang	boast; boasting; arrogance; smugness; over confidence
yabong	thriving, abundant growth, foliage, plentiful foliage
yakap	hug, embrace
yakapin	to hug someone/something; to embrace someone/something; to cuddle something/someone
yaman	wealth, treasure, riches
yaman	in as much as, provided.., as long as..; since, whereas (followed by linker na/-ng).  also "yayaman"
yamot	stubble
yamót	irritated, annoyed; boredom, annoyance, irritation, displeasure, impatience, disgust
yaníg	tremor, shock, shaking
yaón	iyón
yapag	barefoot(?)
yarì	manufacture; making, constructing
yarí	this
yarî	made, made of, finished, ready-made, ready
yariin	to manufacture, construct
yáring-kamáy	handmade
yatà	"I think", probably, perhaps, it seems
yaya	nanny, au pair, nurse maid; invitation; invited
