(mga) baryá	coins
This word has two different meanings, distinguished by accented	syllable.
This word is also often seen in the Tagalog phrase na naman which can	mean ‘again.’
This word is from the Spanish language. The closest native Tagalog word	is possibly [66]alinlangan.
This word is not as commonly used as ‘touch’ is used in English. It	also has a negative connotation in certain contexts.
This word is not commonly used by itself. It is more widely used in	conjugated form.
This word is often used in force-translating the English expression	“Glad to meet you” into Tagalog.
This word originally referred to assault in general. It is now	understood to mean rape.
This word támbay is short for the English-derived Filipino word	istámbay.
This word was originally written as subali’t but the apostrophe is now	often dropped.
This word’s meaning extends to refer to the people, the populace, the	population, or the nation.
This written word can have two meanings, differentiated by accented	syllable.
ti·ngín	estimate, calculation
ti·ngín	look, view, sight
tibay	sturdiness
tigás	hardness
tigás	toughness, stiffness
tígil	stop, pause
tigil-pasada	transport strike
tigok: to feel uncomfortable eating a particularly desirable food	without a child or other loved one joining in
Tikman mo ito.	Have a taste of this.
Tikman mo ito.	Taste this.
Tikmán mo ito.	Try a taste of this.
tikman	to taste
tikmán	to try a taste of
tiktík: uri ng ibon na sinasabing ang huni ay nagbabadya o	nagpapahiwatig na may aswang sa paligid
tíla mataba	apparently fat
tilapon	toss
Timba ako. Gripo ka. Kaya ‘pag napuno ako, papatayin kita.	I’m a bucket. You’re a faucet. So when I get full, I will “kill” you.
tin, isang metal na kumikintab na tulad ng plata ngunit mas malambot at	mas mura
tinadtad na sibuyas	minced onions
Tinalian nila ang mga kamay ko.	They tied up my hands.
tinalian	tied up
tinanaw	looked at from a distance
Tinanggap mo ba ang mga dokumento?	Did you accept the documents?
Tinanong ko siya pero wala siyang sinagot.	I asked him/her but she/he gave no answer.
tinapay na gawa sa tahanan	homemade bread
tinapay na yari sa tahanan	homemade bread
Tinatamad ako.	I’m feeling lazy.
Tinatamad akong magluto.	I don’t feel like cooking.
Tinatamad ka ba?	Are you  feeling lazy?
tinda, n	merchandise
tinda, v	to sell
tinda-tindahan	children’s game where they pretend to run a store
tindera	a female seller
tindero	a male seller
Tingin nang tingin ang lalaki sa iyo.	The man keeps looking at you.
tingin nang tingin	keeps looking
tingkád	brightness (of color)
Tingnan ang lalim ng sugat.	Check the depth of the wound.
Tingnán mo ako.	Look at me.
Tingnan mo ang iyong palad.	Look at the palm of your hand.
Tingnan mo ito. Nakakatuwa.	Look at this. It’s funny.
Tingnan mo ito.	Look at this.
tinig	voice
Tiningnan ko kanina.	I looked at it a while ago.
Tiningnan ko na kanina.	I already looked at it a while ago.
tinugis ng mga pulis	pursued by the police
tinugis	pursued, chased after
Tinukoy ng pulis ang apat na probinsya na may problema.	The police mentioned the four provinces with problems.
Tinukso niya ako.	He/She teased me.
Tinukso niya akong mataba.	He/She teased that I was fat.
Tinungo ko ang aking ulo.	I bowed my head.
tinupad ang pangako	fulfilled the promise
Tinuruan ko ang bata.	I taught the child.
tinusok ng karayom	was pierced with a needle
Tinutukan ako ng baril.	I had a gun pointed at me.
tinutukan ng baril	to have a pointed a gun at
tinutulan ang mungkahi	objected to the suggestion/recommendation
tinutulan	objected
tira	leftover, residue
tira, matira	be able to endure
tira, pagtira	residence
tira-tira	leftovers
tiririt	tweet
titik-hilig	italics
tiwala sa sarili	self-confidence
tiwalaan	trust someone
tiwalî: lihis o taliwas sa nakamihasnan, pamantayan, normal, at	inaasahan
tiyagâ: sipag at sikap na ituloy ang gawain, kahit magtagal, sa kabilâ	ng babala, oposisyon, at mga kabiguan
tiyak na paksa	definite topic
tiyak na tunguhin	definite goal
tiyak	definite
tiyán	abdomen, stomach
tiyán	belly
To be tapat, therefore, is also to be “honest” and “faithful,” as well	as mapagkakatiwalaan or trustworthy.
tó·do	all
tódo bigay	give one’s all
tódo bigay	go all out
tong: (kultura ng mga Tsino) asosasyon, partido sa politika, o lihim na	samahan
Torotot is like a noisemaker for parties, but in the Philippines, its	use is more prevalent in the run-up to the New Year.
torotot	child’s trumpet
Totoó ang sinasabi ko.	What I’m saying is true.
Totoo ba na ang ama ng batang si Joaquin Montes ay isang	pulis-iskalawag na ipinatapon sa Mindanao? 🤔
Totoong malaki ang bahay nila.	It’s true their house is big.
Totoong totoo.	Very real.
traydor sa ating lahi	traitor to our race
tripulante	crew
tsupér	chauffeur
tsupér	driver
tubo	gain, profit, interest
tubò	native
tubo	sprout, growth
tubó	sugarcane
tugis	pursuit, chase
tuhog	string of beads
tuka ng páto	duck’s beak
túkod	brace
túkod	support, prop
tukso	teasing, joking
tukuran	to prop up
tukuyin	to mention, cite
tula tungkol sa mga tao	poem about people
tula tungkol sa pamilya	poem about family
tulad ng dati	like before
tulad ng ibang mauunlad na bansa sa daigdig	like other developed nations of the world
tulad ng sinabi ko	like what I said
tulad	imitation
tulak / tulak-droga	slang for “drug pusher”
Tulakin mo ito.	Push this.
tulay ng buhay	bridge of life
tulay ng kabataan	youth’s bridge
tulay	bridge
Tulog ka na ba?	Are you asleep already?
Tuloy ka.	(You) enter.
Tuloy po kayo.	Please come in. (polite)
tuloy	to stay in a house
tuloy-tuloy	continual
Tulungan mo ako.	Help me.
Tulungan mo si Nanay.	Help Mom.
Tulungan mo sila.	Help them.
Tulungan mo silang makabisado ang mga aklat sa Biblia.	Help them become familiar with the books of the Bible.
tulungan	to help someone
tumaas	to rise, increase, ascend
tumagilid	to lean on one side
tumahan	to abide, reside, live
Tumakas ako.	I fled.
Tumakas sila.	They fled.
tumakbo nang mabilis	ran fast
Tumalon ako sa ilog para saklolohin ang babae.	I jumped into the river in order to save the woman.
tumalon sa tulay	jumped off a bridge
tumalon	to jump
tumamis	to become sweet
tumanaw	to view, look into distance
Tumanggap sila ng pera.	They accepted money.
Tumanggi akong sumagot.	I refused to answer
tumanggi	refused
tumataas na presyo	rising price(s)
tumatakbo	is operating
tumatakbo	is running
tumatanda	growing old
tumatatag, nakapagpatatag, pinatatatag, matatag, mapgpakatatag,	nagpakatatag, papapatatag, ipapatatag, ipatatag
tumawa	to laugh
Tumawíd ka dito.	Cross here.
tumawíd	to cross
Tumayo ang balahibo ko.	My hair bristled. (I was scared.)
Tumayo ka.	Stand up, you.
Tumayo tayo.	Let’s stand.
tumestigo	testified
tumigil	stopped, halted
Tumingkad ang mga anino sa daan.	The shadows on the road darkened.
Tumingkad ang mga kulay.	The colors deepened / brightened.
tumubo	to grow
Tumungo ka.	Bow your head.
tumungó	to bow one’s head in submissiveness
tumungo	to go to
tumupád sa mga tungkulin	fulfill the responsibilities / obligations
tumupád	to peform, accomplish
tumutol	objected
tumuwáng	to help carry a load
tunaw	melt, dissolve
Tunay na Filipino sa Puso’t Salita at sa Gawa	True Filipino at Heart and in Words and in Action
túnay na lalaki	real man
túnay	real, genuine, legit
tungkol sa buhay	about life
tungkol sa wala	about nothing
tungo	to deal with
tupád	to fulfill, carry out
tupok, labis na pagkadarang sa baga, pagdiringas, pagliliyab o	pag-aapoy ng bahay
túpok: pugnáw (pagsirà hanggang mawala o maglaho ang isang bagay,	karaniwang sa pamamagitan ng apoy)
turò	point
turò	teach
Turuan mo ako.	Teach me.
Turuan mo akong sumayaw ng tinikling.	Teach me how to dance the tinikling.
tusok	piercing, perforation
tusukan	pin cushion
tusukan	to pierce, perforate, skewer
tutál	anyway
túto	learning
tutok	aim or focus attention on
tutok	point (a gun at), aim
tutol	opposition, protest
tuwâ	joy, happiness, fun
tuwáng	coordinate (grammar)
tuwáng	supported on both sides
tuwáng-tuwáng	in pairs
tuwíd	straight, erect, direct
u·má·ga	morning
Ubos na ang luha ko.	My tears have run dry.
Ubos na ang pasensya ko.	My patience has run out.
Ubos na ang pera gone.	My money has all been spent.
Ubos na.	All gone.
ugnayan	connection, links, interdependence
ugnayin	to connect
Uhaw ako.	I’m thirsty.
uhaw sa dugo	thirsty for blood
uhaw sa pag-ibig	thirsty for love
uhaw sa pansin	thirsty for attention
uhaw	thirsty
ulan	rain
ulat	report, account, statement
ulî	again
Ulitin mo ito.	Do this again. Do this over.
úlo ng katawan	head of the body
úlo: ang bahaging ito na kinikilála bílang sentro ng talino, gaya ng	pag-iisip, memorya, pag-unawa, pagkontrol sa emosyon, at iba pa
úlo: itaas na bahagi ng katawan ng tao na pinaghuhugpong ng leeg, at	binubuo ng utak, bungo, buhok, at mukha
umaagos	is flowing
umaambag ng pera	is contributing money
umaambag	is contributing
umaambag	is contributing
umaambag: nagbibigay ng orihinal na akda na ilalathala para sa isang	magasin o publikasyon
umaambag: nagbibigay ng salapi, oras, kaalamán, o tulong kasáma ng	ibang tao para sa kawanggawa
Umaamoy.	It’s smelling.
umaapoy	blazing, is ablaze
umabot, abutin	to reach for
Umaga na naman.	Morning again.
Umaga na!	Morning already!
umága: ang maagang bahagi ng isang araw, mula liwayway hanggang	tanghali
umagahin	to be overtaken by morning
umagos	flowed
Umakyat ako ng bundok.	I climbed a mountain.
Umakyat ng bundok si Teresa.	Teresa climbed a mountain.
umakyat ng bundok	climbed a mountain
umakyat ng bundok	climbed a mountain
umakyat	to climb
Umalis ka diyan.	Get away from there.
umalis	leave, depart
Umamin ka na.	Confess already.
umamin na aswang	admitted to being a ghost
umamin na	admitted already
umamin na…	admitted that
Umamin si Ana na buntis siya.	Ana admitted that she’s pregnant.
umamin	admitted (confessed)
umaming… (short for “umamin na”)	admitted that…
umanó	allegedly
umasa	to hope
umawit	to sing
umibig	to fall in love
umilalim	went under
Uminom ako ng kape.	I drank coffee.
Uminom ka nang kaunti.	Drink a little.
Uminom ka.	Drink.
Uminom ng gatas ang bata.	The child drank milk.
uminom ng kape	drank coffee
umiwas	to evade
Umiyak ako kagabi.	I cried last  night.
Umiyak ako nang marinig ko ang balita.	I cried when I heard the news.
Umiyak din ako.	I also cried.
umiyak	to cry
umpisá	beginning, start
Umubo ka sa panyo.	Cough into a handkerchief.
umubo	to cough
Umurong and senador sa kampanyang maging presidente.	The senator withdrew from the campaign to become president.
Umurong sila nang umurong.	They kept retreating.
umurong	to retreat, withdraw, retract
umusok	emitted smoke
umutang	to borrow (money)
umuubo	is coughing
umuulan	raining
umuwi	to go home
una sa lahat	first of all
una sa listahan	first on the list
unahin	to do first
únan: salalayan ng ulo kapag nakahiga, lalo na ang telang bag na tigib	sa goma, balahibo, dayami, at ibang malambot na palamán
unang bagay na hinawakan mo sa araw na ito	first thing you touched on this day
Unang Ginang	First Lady (wife of the president)
unang mga dekada	first decades
Unang pagharap ng ikakasal sa pare o sa maykapangyarihan upang lumagda	sa kontrata sa kasal; pagharap sa mesa upang kumain
unang putók	first explosion
unós	storm
unós	tempest
Unrelated to the above word, Sana’y is a combination of the words	[66]Sana and [67]ay.
Unrelated to the above, the company ALIBABA trades on the New York	Stock Exchange with the acronym BABA.
Unti-unti itong pinanawan ng lakas.	Unti-unting nawalan ng lakas.
Upang gumaling, uminom ka ng gamot.	In order to get well, take medicine.
uri-uri	of all kinds
usá	deer
usang babae	a doe, a female deer
usang lalaki	a hart, a buck, a male deer
usang reno (not common)	reindeer
usápan	conversation
usapang-maginoo	gentleman’s agreement
Uso ito ngayon!	This is in vogue these days!
utak	brain
utang na loob	debt of gratitude
utangero	a habitual borrower of money
útos ng Diyos	God’s commandment
uwak	raven
uwî	something brought home
uwian	usual time to go home, dismissal time
Uy! Bagong tasa si Pedro.	Whoa! Peter got a sports cut.
uyamin	to mock, taunt
Various word formations: bumubulagta, bubulagta, bulagtaan,	nakabulagta, nabulagta, mabubulagta, nangabulagta
wakás	end, conclusion
wakekekek	(laughing sound)
Wala akong awa sa iyo.	I have no mercy for you.
Wala akong balak na ahasin ang nobyo mo.	I have no plans of stealing your boyfriend.
Wala akong ganang kumain.	I don’t have the appetite to eat. / I don’t feel eating.
Wala akong gusto kundi ito.	I want nothing except this.
Wala akong hilig kundi ang magtrabaho.	I have no hobby except working.
Wala akong kasáma.	I have no companion.
Wala akong ma say (Taglish)	There’s nothing I can say.
Wala akong maaasahan kundi ang sarili ko.	There’s no one I can rely on but myself.
Wala akong masabi kundi “Hello.”	I can’t say anything but “Hello.”
Wala akong nagawang tama.	There was nothing I did that was right.
Wala akong nararamdaman.	I am feeling nothing.
Wala akong narinig.	I didn’t hear anything.
Wala akong oras para sa iyo.	I don’t have time for you.
Wala akong pakialam.	I don’t care.
Wala akong pambayad.	I have nothing to pay with.
Wala ka bang kumpiyansa sa sarili?	Do you not have self-confidence?
Wala kang kuwenta.	You’re worthless.
Wala kang kuwentang tao.	You’re a worthless person.
Wala kang maaasahan kundi ang sarili mo lamang.	There’s no one you can rely on but yourself.
Wala kang silbi.	You’re useless.
Wala kang utang na loob!	You frickin’ ingrate!
wala sa kanyang sarili	absent-minded, not being oneself
Wala sa kuwarto.	Not in the room.
wala sa matwíd	unreasonable, irrational
wala sa uso	out of fashion
Wala siyang iniwan.	He/She didn’t leave anything.
